Country,Year,Population,GDP (Billion USD),Unemployment Rate (%),Internet Users (%),Continent
Brazil,2018,1247010858,21451.44,3.98,96.26,South America
Germany,2020,463471600,20026.39,20.3,34.3,Europe
Canada,2002,686463151,5953.02,10.95,39.25,North America
UK,2010,103405247,14014.0,3.83,41.25,Europe
Brazil,2006,325891445,9692.74,11.76,86.27,South America
Australia,2016,744523374,11546.8,8.91,61.44,Oceania
China,2024,1108976306,3933.51,15.61,96.68,Asia
Brazil,2008,1103685950,7962.61,12.87,65.82,South America
Canada,2020,1158923810,21455.41,8.83,72.82,North America
UK,2008,1183126302,22449.2,21.83,17.94,Europe
Germany,2009,1202020406,15292.81,11.36,94.7,Europe
Canada,2012,888038047,12506.85,12.83,65.9,North America
Canada,2014,54299306,17849.71,21.47,56.3,North America
China,2021,1119847607,15260.45,4.05,44.48,Asia
France,2004,741142692,24593.51,10.97,16.86,Europe
UK,2002,100548774,4833.21,11.27,21.87,Europe
India,2007,1376332005,11281.21,13.4,11.04,Asia
Canada,2019,1397031519,22964.19,4.44,98.88,North America
France,2009,411009068,22876.95,4.36,79.98,Europe
India,2012,1225062130,12434.14,11.58,80.97,Asia
UK,2002,744068426,3456.74,2.76,74.98,Europe
USA,2021,1309160915,20392.45,7.86,53.09,North America
Australia,2007,154028808,14670.61,6.63,17.85,Oceania
France,2008,801450405,19351.83,13.26,16.43,Europe
Russia,2021,692038994,11616.84,2.26,91.56,Europe/Asia
USA,2020,370884086,5176.71,17.54,10.03,North America
Australia,2011,221079783,697.34,21.68,72.22,Oceania
China,2010,1281514310,14022.54,18.26,65.94,Asia
Brazil,2001,888653508,4110.05,20.82,54.61,South America
Germany,2017,641530414,4759.72,16.8,96.77,Europe
Russia,2008,417093359,10964.01,13.67,27.63,Europe/Asia
China,2001,1351801418,11107.72,7.04,79.89,Asia
UK,2001,624125424,6932.24,8.43,70.06,Europe
China,2002,1237546461,3384.86,9.31,96.72,Asia
Brazil,2015,1012984386,23629.32,2.87,93.13,South America
UK,2018,1306971925,3377.85,23.0,21.44,Europe
Russia,2003,1184345447,8834.24,22.71,37.39,Europe/Asia
Brazil,2022,37742450,7691.21,4.48,85.72,South America
India,2024,1327385107,21671.81,14.8,30.35,Asia
Germany,2017,304921711,10310.55,12.76,43.69,Europe
Russia,2019,376520582,3188.68,17.72,65.71,Europe/Asia
India,2024,46131515,355.5,15.87,60.1,Asia
Australia,2017,562588422,18076.55,4.86,67.01,Oceania
Russia,2009,1124891091,17891.08,17.18,73.5,Europe/Asia
Australia,2010,18501784,10502.81,16.0,74.86,Oceania
UK,2016,458832556,3245.07,14.22,75.64,Europe
India,2023,115629922,9353.68,11.26,98.26,Asia
Germany,2024,502958763,14788.07,23.96,41.74,Europe
Brazil,2022,454655079,17628.18,21.54,13.93,South America
Canada,2023,136785420,2048.17,15.46,41.05,North America
China,2019,1175210671,13952.06,2.15,91.13,Asia
USA,2015,1042699110,6975.49,11.94,17.42,North America
Germany,2019,224563331,15469.93,18.11,67.58,Europe
India,2012,627252988,16238.69,4.7,47.66,Asia
Canada,2001,164868491,22774.03,11.35,92.02,North America
Germany,2023,1305182480,10318.42,6.41,92.64,Europe
India,2001,271905808,13486.01,9.78,79.89,Asia
France,2024,402651969,6778.56,2.61,18.77,Europe
France,2013,1242863813,7235.27,4.91,12.2,Europe
Australia,2003,892108331,1246.24,12.46,22.16,Oceania
Germany,2016,127972537,7223.12,22.66,38.64,Europe
France,2012,1126844298,1689.33,13.28,31.49,Europe
India,2003,125720628,24101.5,12.42,42.91,Asia
Australia,2002,174949137,15644.15,20.11,22.73,Oceania
India,2011,525173095,4411.4,8.16,76.97,Asia
Australia,2021,484907672,3007.48,4.19,85.23,Oceania
Germany,2022,339157222,9316.05,6.82,53.43,Europe
Canada,2007,1315740251,7760.42,20.2,95.13,North America
Brazil,2001,774357805,7053.44,17.57,20.71,South America
Russia,2005,235422207,11758.08,4.11,19.42,Europe/Asia
Canada,2021,972632382,22830.56,17.34,27.84,North America
UK,2009,1288757707,14244.45,23.43,97.39,Europe
India,2011,473696360,13078.66,3.03,47.07,Asia
UK,2020,475620403,20183.06,16.18,92.25,Europe
Canada,2009,472868956,200.21,10.72,27.98,North America
Australia,2009,966337878,5014.9,13.52,85.3,Oceania
Russia,2022,486554767,12455.03,14.15,37.59,Europe/Asia
Russia,2002,250102324,17662.2,19.73,75.36,Europe/Asia
USA,2019,551956082,12177.2,14.81,96.73,North America
Russia,2009,193423023,4176.53,15.64,93.04,Europe/Asia
Brazil,2008,1006481832,23256.57,9.66,83.99,South America
Russia,2019,356641644,8283.76,4.9,14.47,Europe/Asia
Canada,2018,520150681,19726.57,17.7,64.09,North America
USA,2013,567753010,22296.19,2.01,84.35,North America
Canada,2001,848346825,8726.59,9.56,45.54,North America
Canada,2004,245673670,21148.26,7.02,75.08,North America
China,2019,574245016,17798.26,10.94,22.29,Asia
USA,2007,165666861,22616.59,9.16,25.73,North America
Canada,2006,1235618894,6357.64,18.2,67.29,North America
China,2005,739545996,23288.81,7.98,48.9,Asia
China,2010,428184301,1726.13,14.9,29.42,Asia
USA,2011,573448345,19862.42,12.48,35.18,North America
UK,2017,787969942,10948.06,20.42,65.08,Europe
Australia,2018,1157974652,4529.46,11.85,74.56,Oceania
Brazil,2009,39080363,2077.13,21.87,28.48,South America
Australia,2024,889676059,9799.73,2.0,95.01,Oceania
Russia,2024,173397362,9794.17,15.91,10.73,Europe/Asia
Brazil,2020,201120843,5825.94,2.23,72.31,South America
Russia,2013,793135895,5466.33,18.42,35.9,Europe/Asia
Canada,2002,380151948,10047.91,7.4,52.59,North America
India,2017,91540747,10311.84,10.74,60.72,Asia
USA,2023,552765197,11114.88,10.75,59.98,North America
Brazil,2014,185241256,21732.11,21.47,79.09,South America
Brazil,2005,735032618,15320.24,4.35,83.32,South America
Canada,2009,943752431,608.79,17.34,16.53,North America
UK,2011,667718449,13025.57,24.57,72.57,Europe
China,2006,1305642243,19085.04,2.51,45.52,Asia
Canada,2016,1386381361,1504.72,24.22,82.85,North America
France,2000,1069024291,10622.94,2.42,64.19,Europe
China,2017,626208766,11335.13,21.35,10.91,Asia
USA,2014,1177050613,23855.11,24.11,69.32,North America
China,2018,1396013081,11944.53,24.84,92.39,Asia
UK,2000,191069094,18772.52,12.56,17.4,Europe
China,2004,723373906,7642.26,21.94,53.99,Asia
USA,2014,618799566,19504.74,4.81,65.7,North America
UK,2002,15508208,8134.29,11.78,27.43,Europe
Australia,2000,728853972,10807.59,9.08,67.91,Oceania
Brazil,2007,596470400,12039.11,11.09,14.43,South America
Brazil,2011,735697498,23166.44,18.15,90.61,South America
Russia,2021,138496843,1430.99,4.01,77.88,Europe/Asia
Australia,2024,838648449,5001.99,24.96,93.75,Oceania
Australia,2018,439317188,17672.99,16.61,47.24,Oceania
China,2024,492014024,14481.68,22.09,13.04,Asia
Brazil,2024,580621779,6363.13,21.08,40.4,South America
USA,2011,1033101229,7301.1,19.62,55.9,North America
Germany,2012,184752785,9246.01,2.9,93.29,Europe
Germany,2000,1160772028,11313.64,13.88,88.59,Europe
UK,2018,1175322273,20468.88,9.55,62.87,Europe
Brazil,2005,265323656,444.01,4.6,74.95,South America
Brazil,2007,1046190982,22460.69,9.89,94.9,South America
Germany,2003,173299388,10384.38,16.83,85.7,Europe
Brazil,2004,1359749455,5839.39,7.3,68.63,South America
China,2024,1340907574,12759.48,12.23,58.06,Asia
France,2021,541887196,16525.78,11.3,52.37,Europe
India,2006,366501290,1214.33,3.21,77.34,Asia
Australia,2022,154495933,17922.86,16.45,81.98,Oceania
Russia,2003,923864661,19042.95,16.23,29.37,Europe/Asia
UK,2019,1146570253,4237.94,24.23,52.19,Europe
France,2003,734194834,4280.25,8.85,78.63,Europe
Germany,2014,213965847,5174.24,11.64,70.14,Europe
Australia,2020,373281577,19936.05,11.28,62.65,Oceania
Brazil,2004,189865083,6872.88,23.15,38.81,South America
Russia,2023,65683707,19918.8,11.4,64.22,Europe/Asia
Brazil,2008,823633218,13559.04,12.18,64.48,South America
USA,2001,104390369,19202.57,7.8,48.49,North America
USA,2006,333994860,13886.46,2.03,95.47,North America
Russia,2016,1312162369,8460.65,4.54,68.13,Europe/Asia
Russia,2015,599733220,22776.78,18.19,85.71,Europe/Asia
Germany,2016,1126985422,17910.86,17.7,21.48,Europe
Russia,2019,915187103,12152.96,9.42,77.35,Europe/Asia
China,2022,346815999,15971.97,12.88,63.57,Asia
Brazil,2001,260981264,15434.5,8.84,37.44,South America
France,2010,266419745,9017.09,18.81,22.14,Europe
Canada,2001,59430449,10651.92,21.38,43.79,North America
Russia,2000,208027054,8024.59,22.68,49.28,Europe/Asia
UK,2001,740909142,24988.0,6.0,22.53,Europe
USA,2022,316181922,14543.6,17.99,69.64,North America
China,2008,172507428,2392.18,24.15,37.33,Asia
Australia,2021,934279544,13025.77,16.96,81.74,Oceania
Canada,2001,453229400,1344.05,10.07,67.7,North America
France,2014,901822125,7287.44,16.63,37.63,Europe
Canada,2009,1029387364,11204.43,17.83,42.04,North America
Russia,2014,803510420,13403.34,11.13,93.85,Europe/Asia
Germany,2009,1058704687,24406.92,4.39,94.38,Europe
USA,2024,1012538789,24557.32,15.95,47.24,North America
USA,2022,941762599,2541.93,20.45,70.45,North America
Australia,2016,1050859425,13499.5,24.94,97.22,Oceania
Germany,2008,309805650,20446.02,7.13,98.47,Europe
Brazil,2017,502351258,6019.05,18.11,16.42,South America
India,2003,927311816,18789.02,2.64,59.26,Asia
China,2008,1369817476,21977.61,24.31,74.67,Asia
USA,2015,761908760,16595.94,2.29,26.63,North America
UK,2003,1143804889,8259.81,10.25,83.15,Europe
USA,2015,595758115,23085.99,3.76,51.69,North America
Canada,2018,1081857199,22099.65,16.28,54.3,North America
USA,2000,1081529663,17924.05,9.81,34.41,North America
USA,2022,1068552710,9155.34,18.86,36.71,North America
India,2005,65244116,19818.22,13.19,17.49,Asia
India,2009,214748510,7971.11,11.65,92.9,Asia
France,2015,237429184,6398.53,10.02,43.99,Europe
Brazil,2003,104558274,12923.83,3.98,24.44,South America
UK,2021,1212439582,24928.67,6.71,22.67,Europe
USA,2021,142027096,20127.62,16.7,46.26,North America
USA,2012,815081780,18271.84,13.43,66.27,North America
China,2015,112019143,11355.12,3.61,79.22,Asia
India,2019,561959114,7867.56,14.51,92.29,Asia
UK,2005,1386114990,21411.93,3.25,66.58,Europe
Australia,2010,1105522250,14236.55,13.77,47.44,Oceania
France,2023,775363109,20350.05,24.19,47.55,Europe
Brazil,2002,445250664,12245.07,9.07,61.12,South America
Germany,2019,271145981,18873.54,18.64,57.89,Europe
Brazil,2009,993787569,21706.75,19.15,67.03,South America
Canada,2000,731603505,9845.61,11.31,54.8,North America
USA,2019,949435803,437.88,15.65,15.25,North America
France,2010,662241674,6447.67,12.86,54.56,Europe
Canada,2011,54894100,22881.38,8.52,12.01,North America
UK,2013,1227757781,17219.8,19.36,26.07,Europe
Germany,2024,977829045,18456.75,18.17,44.48,Europe
India,2007,1329037115,8199.69,22.71,59.07,Asia
France,2010,897220629,17561.7,16.22,26.45,Europe
France,2003,65311923,16192.43,10.94,34.59,Europe
USA,2006,354740866,4541.5,18.42,43.3,North America
Russia,2009,866708810,24220.4,16.24,27.55,Europe/Asia
France,2018,939886996,8915.24,16.18,98.89,Europe
China,2024,102766387,8299.25,21.55,81.62,Asia
Germany,2003,612874576,9292.12,22.94,82.17,Europe
Germany,2001,258609007,2383.82,6.15,60.63,Europe
China,2020,605039565,15661.59,9.22,95.56,Asia
Australia,2017,1173340159,6041.74,16.96,75.17,Oceania
China,2013,1178086048,20102.49,14.82,39.45,Asia
China,2015,594175882,9914.49,17.0,64.34,Asia
Germany,2021,650235660,11518.11,11.96,58.39,Europe
Brazil,2010,379192320,16195.91,11.49,61.65,South America
Germany,2009,480024545,19070.59,4.71,82.78,Europe
Russia,2016,986317000,5854.77,16.34,55.35,Europe/Asia
USA,2013,1029493388,24160.73,6.04,74.85,North America
Canada,2021,624358847,15595.81,17.43,32.3,North America
Brazil,2003,661222766,240.4,24.24,92.95,South America
India,2018,422739517,10448.99,7.9,17.69,Asia
Canada,2001,1195772614,10976.76,5.27,98.43,North America
USA,2006,789396685,20248.21,2.56,66.31,North America
Russia,2008,1224587375,7697.98,10.71,51.83,Europe/Asia
Russia,2018,110266418,8347.54,6.94,37.66,Europe/Asia
India,2015,107846820,1855.3,13.31,46.06,Asia
Brazil,2021,772676643,7160.3,14.06,79.64,South America
Australia,2024,428951149,17952.35,10.03,22.41,Oceania
China,2015,1094195194,15905.45,19.25,32.49,Asia
Brazil,2017,287334533,2126.71,22.81,21.01,South America
Australia,2022,747861191,2955.88,6.87,47.97,Oceania
Russia,2020,663147863,9485.46,21.23,44.46,Europe/Asia
Germany,2020,280827010,18619.57,5.02,67.74,Europe
USA,2010,1322774083,20839.67,7.26,98.62,North America
India,2006,543996480,464.14,14.91,89.42,Asia
USA,2008,1121159852,8292.36,9.05,88.35,North America
UK,2003,671637832,10664.12,2.96,67.47,Europe
UK,2024,1104833353,22787.21,8.78,34.08,Europe
Brazil,2012,304805577,12585.02,22.81,44.18,South America
Russia,2024,222566461,6815.55,6.01,32.26,Europe/Asia
Russia,2003,144137711,9812.17,19.57,22.02,Europe/Asia
China,2018,497980950,10967.22,18.61,48.81,Asia
China,2001,686005061,16782.9,4.44,89.88,Asia
China,2008,179684536,1123.09,9.58,76.2,Asia
Germany,2011,952236820,9797.35,6.36,97.65,Europe
Canada,2001,267163433,16199.21,2.53,27.34,North America
France,2005,1111887262,7154.73,5.98,54.55,Europe
Canada,2004,436623865,14834.6,6.64,80.58,North America
