Country,Year,Population,GDP (Billion USD),Unemployment Rate (%),Internet Users (%),Continent,Rank
India,2000,1753830,213,6,82,Asia,★
UK,2000,6767619,15444,9,55,Europe,★★★★
Germany,2000,6892391,18268,22,97,Europe,★★★★
Canada,2000,10676505,7565,11,74,North America,★★
UK,2000,14011537,3069,9,84,Europe,★
USA,2000,15785428,16969,23,10,North America,★★★★
Australia,2000,18440076,17021,18,54,Oceania,★★★★
Canada,2000,18588363,9087,12,31,North America,★★
France,2000,19904752,23995,23,19,Europe,★★★★★
Canada,2000,24964438,9551,2,74,North America,★★
Russia,2000,28987388,15933,6,34,Europe/Asia,★★★★
UK,2000,34201244,11615,12,65,Europe,★★★
China,2000,39669110,13039,19,71,Asia,★★★
UK,2000,42157329,18883,2,38,Europe,★★★★
China,2000,51093049,10926,15,91,Asia,★★★
Canada,2000,55201888,10665,6,22,North America,★★★
France,2000,55415758,5002,24,91,Europe,★★
France,2000,60516907,12179,4,44,Europe,★★★
India,2000,60791063,22142,2,60,Asia,★★★★★
USA,2000,60985718,12342,6,77,North America,★★★
Canada,2000,68605435,24066,7,53,North America,★★★★★
Russia,2000,73298541,14129,24,40,Europe/Asia,★★★
USA,2000,75500164,23149,16,65,North America,★★★★★
Russia,2000,75647301,10427,3,79,Europe/Asia,★★★
India,2000,76741005,20470,22,17,Asia,★★★★★
USA,2000,78884554,23293,18,18,North America,★★★★★
Canada,2000,79833228,18495,14,90,North America,★★★★
UK,2000,83508638,16401,17,32,Europe,★★★★
USA,2000,83674818,14855,3,79,North America,★★★
Canada,2000,83735724,23581,3,46,North America,★★★★★
China,2000,89353774,20393,16,12,Asia,★★★★★
India,2000,89741958,15969,2,87,Asia,★★★★
Brazil,2000,91121290,9720,22,66,South America,★★
Germany,2000,96970753,15175,8,90,Europe,★★★★
Brazil,2000,109259233,15470,24,12,South America,★★★★
Brazil,2000,110267836,18941,19,72,South America,★★★★
China,2000,118199566,10425,10,82,Asia,★★★
India,2000,122513678,3413,12,12,Asia,★
Germany,2000,123376023,549,9,74,Europe,★
Canada,2000,133109636,24011,7,75,North America,★★★★★
Germany,2000,138360781,8914,18,61,Europe,★★
Brazil,2000,139700187,22709,5,96,South America,★★★★★
France,2000,142242735,4368,14,89,Europe,★
Australia,2000,149660289,8108,17,20,Oceania,★★
USA,2000,149892604,7553,19,47,North America,★★
Russia,2000,151630009,12457,19,97,Europe/Asia,★★★
Brazil,2000,153999060,1459,3,11,South America,★
Australia,2000,157467385,21197,5,84,Oceania,★★★★★
UK,2000,161119110,7926,2,47,Europe,★★
France,2000,161246352,17915,13,61,Europe,★★★★
Canada,2000,170299842,3682,17,11,North America,★
Brazil,2000,171344006,9728,8,43,South America,★★
UK,2000,172487995,23659,9,59,Europe,★★★★★
Brazil,2000,178239502,9593,24,94,South America,★★
USA,2000,183837607,9455,3,32,North America,★★
India,2000,188804926,12617,19,47,Asia,★★★
UK,2000,191069094,18772,12,17,Europe,★★★★
Australia,2000,193794246,16078,6,66,Oceania,★★★★
Brazil,2000,197611372,24379,17,34,South America,★★★★★
Germany,2000,204366604,4301,19,24,Europe,★
Germany,2000,206927781,15129,8,10,Europe,★★★★
India,2000,207267473,22893,10,66,Asia,★★★★★
Russia,2000,208027054,8024,22,49,Europe/Asia,★★
